Name,Set Name,Owner,Quantity,MARKET
+2 Mace,Adventures in the Forgotten Realms,Eric,1,0.09
+2 Mace,Adventures in the Forgotten Realms,Eric,2,0.04
A Mysterious Creature,Assassin's Creed Tokens,Eric,3,0.05
A Tale for the Ages,Wilds of Eldraine,Eric,1,0.12
Abandoned Campground,Duskmourn: House of Horror,Eric,1,0.04
"Abdel Adrian, Gorion's Ward",Commander Legends: Battle for Baldur's Gate,Eric,1,0.23
"Abdel Adrian, Gorion's Ward",Commander Legends: Battle for Baldur's Gate,Eric,1,0.11
Aberrant Mind Sorcerer,Adventures in the Forgotten Realms,Eric,1,0.05
Abrade,Innistrad Remastered,Eric,1,0.09
Abraded Bluffs,Outlaws of Thunder Junction,Eric,1,0.19
Abstergo Entertainment,Assassin's Creed,Eric,1,2.52
Abundant Growth,Innistrad Remastered,Eric,1,0.36
Abundant Growth,Innistrad Remastered,Eric,1,0.06
Abzan Battle Priest,March of the Machine Commander,Eric,1,0.16
Abzan Falconer,March of the Machine Commander,Eric,1,0.19
Academy Manufactor,Outlaws of Thunder Junction Commander,Eric,1,3.32
Academy Manufactor,March of the Machine Commander,Eric,1,3.30
Academy Wall,Dominaria United,Eric,1,0.04
Access Denied,Neon Dynasty Commander,Eric,1,0.82
Access Tunnel,Tales of Middle-earth Commander,Eric,1,0.46
Access Tunnel,Strixhaven: School of Mages,Eric,1,0.44
Access Tunnel,Murders at Karlov Manor Commander,Eric,1,0.42
Acclaimed Contender,March of the Machine Commander,Eric,1,0.22
Accursed Marauder,Modern Horizons 3,Eric,1,0.15
Acererak the Archlich,Adventures in the Forgotten Realms,Eric,1,3.29
Achilles Davenport,Assassin's Creed,Eric,2,3.34
Acidic Slime,Neon Dynasty Commander,Eric,1,0.10
Acolyte of Aclazotz,The Lost Caverns of Ixalan,Eric,1,0.05
Acolyte of Bahamut,Commander Legends: Battle for Baldur's Gate,Eric,1,0.11
Acquisition Octopus,Kamigawa: Neon Dynasty,Eric,1,0.10
Act of Treason,Ravnica Remastered,Eric,2,0.06
Adarkar Wastes,Modern Horizons 3 Commander,Eric,1,1.51
"Adeline, Resplendent Cathar",March of the Machine Commander,Eric,1,6.37
"Adéwalé, Breaker of Chains",Assassin's Creed,Eric,1,0.08
"Adéwalé, Breaker of Chains",Assassin's Creed,Eric,3,0.08
"Adéwalé, Breaker of Chains",Assassin's Creed,Eric,5,0.08
Admiral Beckett Brass,Secret Lair Drop,Eric,1,8.56
Adrestia,Assassin's Creed,Eric,4,0.08
Adrestia,Assassin's Creed,Eric,1,0.07
"Adriana, Captain of the Guard",Phyrexia: All Will Be One Commander,Eric,1,0.24
Adult Gold Dragon,Adventures in the Forgotten Realms,Eric,1,0.54
Adult Gold Dragon,Adventures in the Forgotten Realms,Eric,1,0.20
Adventurous Impulse,Strixhaven Mystical Archive,Eric,1,0.19
Aegis Turtle,Foundations,Eric,1,0.02
Aerial Assault,Core Set 2020,Eric,1,0.05
Aerial Boost,March of the Machine,Eric,1,0.02
Aerial Surveyor,Neon Dynasty Commander,Eric,1,0.38
Aeronaut Admiral,Neon Dynasty Commander,Eric,1,0.17
Aether Hub,Modern Horizons 3 Commander,Eric,1,0.15
Aether Refinery,Modern Horizons 3 Commander,Eric,1,0.26
Aetherborn Marauder,Outlaws of Thunder Junction Commander,Eric,1,0.06
Aetherborn Token,Modern Horizons 3 Commander Tokens,Eric,2,
Aethergeode Miner,Modern Horizons 3 Commander,Eric,1,0.08
Aethersphere Harvester,Modern Horizons 3 Commander,Eric,1,0.07
Aethersquall Ancient,Modern Horizons 3 Commander,Eric,1,0.08
Aetherstorm Roc,Modern Horizons 3 Commander,Eric,1,0.07
Aethertide Whale,Modern Horizons 3 Commander,Eric,1,0.07
Aetherworks Marvel,Modern Horizons 3 Commander,Eric,1,0.69
Agate Assault,Bloomburrow,Eric,1,0.03
Agate-Blade Assassin,Bloomburrow,Eric,1,0.05
Agatha's Champion,Wilds of Eldraine,Eric,1,0.02
Agency Coroner,Murders at Karlov Manor,Eric,1,0.02
Agent of the Shadow Thieves,Commander Legends: Battle for Baldur's Gate,Eric,1,0.11
Aggravated Assault,Wilds of Eldraine: Enchanting Tales,Eric,1,9.56
Agitator Ant,Neon Dynasty Commander,Eric,1,0.15
Agonizing Remorse,Theros Beyond Death,Eric,1,0.07
Aid from the Cowl,March of the Machine Commander,Eric,1,0.12
Air-Cult Elemental,Adventures in the Forgotten Realms,Eric,1,0.04
Air-Cult Elemental,Adventures in the Forgotten Realms,Eric,1,0.01
"Ajani, Mentor of Heroes",Resale Promos,Eric,3,0.34
Ajani's Chosen,Wilds of Eldraine Commander,Eric,1,0.46
"Akiri, Fearless Voyager",Commander Masters,Eric,1,0.72
Akki Battle Squad,Neon Dynasty Commander,Eric,1,1.53
Akki Ronin,Kamigawa: Neon Dynasty,Eric,1,0.03
Akroma's Will,Modern Horizons 3 Commander,Eric,1,8.64
"Alania, Divergent Storm",Bloomburrow,Eric,1,0.12
Alaundo the Seer,Commander Legends: Battle for Baldur's Gate,Eric,1,0.16
Alchemist's Retrieval,Innistrad: Crimson Vow,Eric,1,0.08
"Alela, Cunning Conqueror",Wilds of Eldraine Commander,Eric,1,0.70
"Alesha, Who Laughs at Fate",Foundations,Eric,1,1.62
"Alexios, Deimos of Kosmos",Assassin's Creed,Eric,2,0.36
"Alexios, Deimos of Kosmos",Assassin's Creed,Eric,3,0.25
"Alexios, Deimos of Kosmos",Assassin's Creed,Eric,7,0.10
"Alharu, Solemn Ritualist",March of the Machine Commander,Eric,1,0.08
All That Glitters,The List,Eric,1,0.53
Almighty Brushwagg,Ikoria: Lair of Behemoths,Eric,1,0.02
"Alora, Merry Thief",Commander Legends: Battle for Baldur's Gate,Eric,1,0.14
"Alora, Merry Thief",Commander Legends: Battle for Baldur's Gate,Eric,1,0.03
Altaïr Ibn-La'Ahad,Assassin's Creed,Eric,1,14.90
Altaïr Ibn-La'Ahad,Assassin's Creed,Eric,1,3.36
Altar of the Goyf,Modern Horizons 3 Commander,Eric,1,0.05
Amber Gristle O'Maul,Commander Legends: Battle for Baldur's Gate,Eric,1,0.03
Amber Gristle O'Maul,Commander Legends: Battle for Baldur's Gate,Eric,1,0.03
Ambitious Dragonborn,Commander Legends: Battle for Baldur's Gate,Eric,1,0.03
Ambush Gigapede,Outlaws of Thunder Junction,Eric,3,0.05
Amethyst Dragon // Explosive Crystal,Commander Legends: Battle for Baldur's Gate,Eric,1,0.11
Amped Raptor,Modern Horizons 3,Eric,2,0.15
An Offer You Can't Refuse,Foundations,Eric,1,0.68
Ancestral Anger,Innistrad: Crimson Vow,Eric,1,0.18
Ancestral Mask,Wilds of Eldraine Commander,Eric,1,1.94
Anchor to Reality,Kamigawa: Neon Dynasty,Eric,1,0.12
Ancient Bronze Dragon,Commander Legends: Battle for Baldur's Gate,Eric,1,19.40
Ancient Craving,Crimson Vow Commander,Eric,1,0.19
Ancient Den,Mirrodin,Eric,1,2.03
"Andúril, Narsil Reforged",Tales of Middle-earth Commander,Eric,1,10.35
Angel of Finality,Foundations,Eric,1,0.08
Angel of Invention,Modern Horizons 3 Commander,Eric,1,0.31
Angel Token,Phyrexia: All Will Be One Commander Tokens,Eric,1,
Angel Token,Phyrexia: All Will Be One Commander Tokens,Eric,1,
Angel Token,Neon Dynasty Commander Tokens,Eric,2,
Angelic Destiny,Wilds of Eldraine Commander,Eric,1,1.61
Angelic Gift,Core Set 2020,Eric,1,0.08
Angelic Sell-Sword,Outlaws of Thunder Junction Commander,Eric,1,0.20
Anger,Forgotten Realms Commander,Eric,1,1.72
Anger,Modern Horizons 3 Commander,Eric,1,1.60
Angrath's Marauders,Outlaws of Thunder Junction Commander,Eric,1,0.16
Anguished Unmaking,Tales of Middle-earth Commander,Eric,1,2.24
Anje's Ravager,Crimson Vow Commander,Eric,1,0.26
"Anowon, the Ruin Sage",Crimson Vow Commander,Eric,1,4.56
Anticognition,Zendikar Rising,Eric,1,0.02
Apex of Power,Forgotten Realms Commander,Eric,1,0.42
"Arabella, Abandoned Doll",Duskmourn: House of Horror,Eric,1,0.34
"Aragorn, Hornburg Hero",Tales of Middle-earth Commander,Eric,1,1.69
"Aragorn, King of Gondor",Tales of Middle-earth Commander,Eric,1,0.78
Arbaaz Mir,Assassin's Creed,Eric,3,0.13
Arbaaz Mir,Assassin's Creed,Eric,1,0.12
Arbaaz Mir,Assassin's Creed,Eric,6,0.06
Arbaaz Mir,Assassin's Creed,Eric,9,0.04
Arbiter of Woe,Foundations,Eric,1,0.06
Arbor Elf,Tales of Middle-earth Commander,Eric,1,0.54
Arborea Pegasus,Adventures in the Forgotten Realms,Eric,1,0.02
Arborea Pegasus,Adventures in the Forgotten Realms,Eric,1,0.02
Arcane Encyclopedia,Commander Legends: Battle for Baldur's Gate,Eric,1,0.04
Arcane Endeavor,Forgotten Realms Commander,Eric,1,0.39
Arcane Epiphany,Foundations,Eric,1,0.03
Arcane Investigator,Adventures in the Forgotten Realms,Eric,4,0.02
Arcane Sanctum,March of the Machine Commander,Eric,1,0.50
Arcane Signet,Neon Dynasty Commander,Eric,1,0.82
Arcane Signet,Neon Dynasty Commander,Eric,1,0.82
Arcane Signet,March of the Machine Commander,Eric,3,0.73
Arcane Signet,Crimson Vow Commander,Eric,1,0.72
Arcane Signet,Commander Legends: Battle for Baldur's Gate,Eric,2,0.69
Arcane Signet,Phyrexia: All Will Be One Commander,Eric,1,0.61
Arcane Signet,Wilds of Eldraine Commander,Eric,1,0.59
Arcane Signet,Midnight Hunt Commander,Eric,4,0.55
Arcane Signet,Outlaws of Thunder Junction Commander,Eric,1,0.50
Arcane Signet,Forgotten Realms Commander,Eric,2,0.48
Arcane Signet,Forgotten Realms Commander,Eric,2,0.48
Arcane Signet,Tales of Middle-earth Commander,Eric,3,0.46
Arcane Signet,Modern Horizons 3 Commander,Eric,1,0.45
Arcanist's Owl,Neon Dynasty Commander,Eric,1,0.08
"Archelos, Lagoon Mystic",Dominaria United Commander,Eric,1,0.18
Archivist of Gondor,Tales of Middle-earth Commander,Eric,1,0.15
Archmage Emeritus,Strixhaven: School of Mages,Eric,1,4.68
Archmage's Newt,Outlaws of Thunder Junction,Eric,1,0.11
Archon of Cruelty,Modern Horizons 3 Commander,Eric,1,9.33
Archon of Sun's Grace,Wilds of Eldraine Commander,Eric,1,1.79
Archon's Glory,Wilds of Eldraine,Eric,1,0.05
Archway Commons,Strixhaven: School of Mages,Eric,1,0.06
"Ardenn, Intrepid Archaeologist",Commander Legends,Eric,1,2.38
Argentum Armor,Forgotten Realms Commander,Eric,1,2.04
Armed and Armored,Neon Dynasty Commander,Eric,1,0.17
Armguard Familiar,Kamigawa: Neon Dynasty,Eric,1,0.07
Armguard Familiar,Kamigawa: Neon Dynasty,Eric,1,0.04
Armor of Shadows,Commander Legends: Battle for Baldur's Gate,Eric,1,0.07
Armorcraft Judge,March of the Machine Commander,Eric,1,0.08
Armored Armadillo,Outlaws of Thunder Junction,Eric,1,0.03
Armored Skyhunter,Commander Legends,Eric,1,3.21
Armory Paladin,Fallout,Eric,1,0.14
Armory Veteran,Adventures in the Forgotten Realms,Eric,1,0.07
Armory Veteran,Adventures in the Forgotten Realms,Eric,1,0.01
Arms of Hadar,Commander Legends: Battle for Baldur's Gate,Eric,1,0.10
Arno Dorian,Assassin's Creed,Eric,6,0.09
Arno Dorian,Assassin's Creed,Eric,1,0.06
Arno Dorian,Assassin's Creed,Eric,3,0.03
"Aron, Benalia's Ruin",Dominaria United,Eric,1,0.04
Arrester's Zeal,Ravnica Remastered,Eric,1,0.01
Arterial Alchemy,Crimson Vow Commander,Eric,1,0.15
Artificer Class,Commander Legends: Battle for Baldur's Gate,Eric,1,7.51
Arvad the Cursed,March of the Machine Commander,Eric,1,0.15
Arwen Undómiel,The Lord of the Rings: Tales of Middle-earth,Eric,1,0.09
"Arwen, Weaver of Hope",Tales of Middle-earth Commander,Eric,1,4.16
Arwen's Gift,The Lord of the Rings: Tales of Middle-earth,Eric,3,0.04
"Aryel, Knight of Windgrace",March of the Machine Commander,Eric,1,0.12
"Aryel, Knight of Windgrace",Commander Masters,Eric,1,0.08
Asari Captain,Kamigawa: Neon Dynasty,Eric,1,0.06
Ascendant Acolyte,Neon Dynasty Commander,Eric,1,0.21
Asceticism,Tales of Middle-earth Commander,Eric,1,3.69
Ash Barrens,Tales of Middle-earth Commander,Eric,2,0.10
"Ash, Party Crasher",Wilds of Eldraine,Eric,1,0.04
Asmodeus the Archfiend,Adventures in the Forgotten Realms,Eric,1,0.62
Asmodeus the Archfiend,Adventures in the Forgotten Realms,Eric,1,0.24
Assassin Den,Assassin's Creed,Eric,4,0.08
Assassin Gauntlet,Assassin's Creed,Eric,1,0.20
Assassin Gauntlet,Assassin's Creed,Eric,3,0.10
Assassin Initiate,Assassin's Creed,Eric,4,0.06
Assassin Token,Outlaws of Thunder Junction Commander Tokens,Eric,1,0.17
Assassin Token,Assassin's Creed Tokens,Eric,19,0.08
Assassin Token,March of the Machine Commander Tokens,Eric,2,
Assassin Token,Assassin's Creed Tokens,Eric,6,
Assassin's Ink,Kamigawa: Neon Dynasty,Eric,1,0.07
Assassin's Trophy,Assassin's Creed,Eric,1,2.50
Assemble the Entmoot,Tales of Middle-earth Commander,Eric,1,0.22
Assemble the Legion,Phyrexia: All Will Be One Commander,Eric,1,0.18
"Astor, Bearer of Blades",Dominaria United,Eric,1,0.51
"Astor, Bearer of Blades",Dominaria United,Eric,1,0.18
"Atarka, World Render",Forgotten Realms Commander,Eric,1,3.71
Attentive Sunscribe,The Lost Caverns of Ixalan,Eric,1,0.04
Auditore Ambush,Assassin's Creed,Eric,4,0.15
Aura Gnarlid,Wilds of Eldraine Commander,Eric,1,0.07
Aura Shards,Invasion,Eric,1,15.23
Auramancer,Masters 25,Eric,1,0.03
"Aurelia, the Law Above",Murders at Karlov Manor,Eric,1,2.03
"Aurelia, the Law Above",Murders at Karlov Manor,Eric,1,1.02
Aurora Shifter,Modern Horizons 3 Commander,Eric,1,0.14
Austere Command,Modern Horizons 3 Commander,Eric,1,0.46
Austere Command,Wilds of Eldraine Commander,Eric,1,0.45
Automated Artificer,Kamigawa: Neon Dynasty,Eric,1,0.03
Avacyn's Judgment,Crimson Vow Commander,Eric,1,0.13
Aveline de Grandpré,Assassin's Creed,Eric,1,1.78
Aveline de Grandpré,Assassin's Creed,Eric,2,0.50
Aveline de Grandpré,Assassin's Creed,Eric,2,0.31
Aven Mindcensor,Amonkhet,Eric,1,0.44
Aven Mindcensor,Time Spiral Remastered,Eric,1,0.36
Awakened Awareness,Kamigawa: Neon Dynasty,Eric,1,0.02
Axgard Armory,Kaldheim,Eric,2,0.40
Azorius Chancery,Modern Horizons 3 Commander,Eric,1,0.15
Azorius Chancery,Iconic Masters,Eric,1,0.15
Azorius Guildgate,Ravnica Remastered,Eric,1,0.13
Azorius Signet,Neon Dynasty Commander,Eric,1,0.23
Azorius Signet,Duskmourn: House of Horror Commander,Eric,1,0.20
Azusa's Many Journeys,Kamigawa: Neon Dynasty,Eric,1,0.09
Back for More,Breaking News,Eric,2,0.08
Back in Town,Outlaws of Thunder Junction Commander,Eric,1,1.19
Bag of Devouring,Forgotten Realms Commander,Eric,1,0.21
Bag of Devouring,Forgotten Realms Commander,Eric,1,0.15
Bag of Holding,Commander Legends: Battle for Baldur's Gate,Eric,1,0.07
Bag of Holding,Commander Legends: Battle for Baldur's Gate,Eric,2,0.07
Bag of Tricks,Forgotten Realms Commander,Eric,1,0.12
Bakersbane Duo,Bloomburrow,Eric,2,0.04
Baldur's Gate,Commander Legends: Battle for Baldur's Gate,Eric,1,2.00
Baleful Beholder,Adventures in the Forgotten Realms,Eric,1,0.05
Ballad of the Black Flag,Assassin's Creed,Eric,2,0.16
Ballad of the Black Flag,Assassin's Creed,Eric,3,0.07
"Balmor, Battlemage Captain",Dominaria United,Eric,1,0.12
Balor,Commander Legends: Battle for Baldur's Gate,Eric,1,3.47
Balustrade Spy,Ravnica Remastered,Eric,1,0.03
Band Together,Commander Legends: Battle for Baldur's Gate,Eric,1,0.10
Bandit's Haul,Outlaws of Thunder Junction,Eric,1,0.07
Bandit's Talent,Bloomburrow,Eric,1,0.49
Bane's Contingency,Commander Legends: Battle for Baldur's Gate,Eric,1,0.09
Bane's Invoker,Commander Legends: Battle for Baldur's Gate,Eric,1,0.04
